# Temperature	frequency	data
3.019999999999999929e+01	1.000000000000000000e+03	5.266752637896679468e-04
3.019999999999999929e+01	7.943300000000000409e+02	8.018878764992735941e-04
3.019999999999999929e+01	6.309600000000000364e+02	1.011542788543703247e-03
3.019999999999999929e+01	5.011899999999999977e+02	1.164222857418614754e-03
3.019999999999999929e+01	3.981100000000000136e+02	1.307909421396209054e-03
3.019999999999999929e+01	3.162300000000000182e+02	1.440289019565839379e-03
3.019999999999999929e+01	2.511899999999999977e+02	1.542547419219043175e-03
3.019999999999999929e+01	1.995300000000000011e+02	1.666808415698405044e-03
3.019999999999999929e+01	1.584900000000000091e+02	1.766430074506161046e-03
3.019999999999999929e+01	1.258900000000000006e+02	1.880568528312764193e-03
3.019999999999999929e+01	1.000000000000000000e+02	1.926724450613533784e-03
3.019999999999999929e+01	7.943300000000000693e+01	1.950025544399471011e-03
3.019999999999999929e+01	6.309599999999999653e+01	1.980489473497923369e-03
3.019999999999999929e+01	5.011899999999999977e+01	1.978606748773963780e-03
3.019999999999999929e+01	3.981099999999999994e+01	1.894438365600048524e-03
3.019999999999999929e+01	3.162300000000000111e+01	1.835635334491856480e-03
3.019999999999999929e+01	2.511899999999999977e+01	1.751372625067252470e-03
3.019999999999999929e+01	1.995299999999999940e+01	1.677743812019821812e-03
3.019999999999999929e+01	1.584900000000000020e+01	1.543939586103278139e-03
3.019999999999999929e+01	1.258900000000000041e+01	1.440080488504098116e-03
3.019999999999999929e+01	1.000000000000000000e+01	1.351514499872148722e-03
3.019999999999999929e+01	7.943299999999999805e+00	1.248475962135817824e-03
3.019999999999999929e+01	6.309599999999999653e+00	1.175972325119369749e-03
3.019999999999999929e+01	5.011899999999999800e+00	1.124475157222869920e-03
3.019999999999999929e+01	3.981100000000000083e+00	1.108040352248387816e-03
3.019999999999999929e+01	3.162300000000000111e+00	1.063973307910345834e-03
3.019999999999999929e+01	2.511899999999999800e+00	1.071769107879372296e-03
3.019999999999999929e+01	1.995300000000000074e+00	1.073107714286865993e-03
3.019999999999999929e+01	1.584899999999999975e+00	1.140475884268743467e-03
3.019999999999999929e+01	1.258899999999999908e+00	1.123677850760798624e-03
3.019999999999999929e+01	1.000000000000000000e+00	1.163033762338241961e-03
3.019999999999999929e+01	7.943299999999999805e-01	1.293334966527281971e-03
3.019999999999999929e+01	6.309599999999999653e-01	1.417857895154896186e-03
3.019999999999999929e+01	5.011900000000000244e-01	1.523228304025132929e-03
3.019999999999999929e+01	3.981100000000000194e-01	1.714449390756250108e-03
3.019999999999999929e+01	3.162300000000000111e-01	1.962706409145857644e-03
3.019999999999999929e+01	2.511900000000000244e-01	2.266557820819633390e-03
3.019999999999999929e+01	1.995300000000000129e-01	2.648416271111803805e-03
3.019999999999999929e+01	1.584899999999999920e-01	3.033677567222527877e-03
3.019999999999999929e+01	1.258900000000000019e-01	3.730689552472740006e-03
3.019999999999999929e+01	1.000000000000000056e-01	4.376823401867305230e-03
3.570000000000000284e+01	1.000000000000000000e+03	-6.940267242947287252e-05
3.570000000000000284e+01	7.943300000000000409e+02	2.961837712712502013e-04
3.570000000000000284e+01	6.309600000000000364e+02	5.991811360714430212e-04
3.570000000000000284e+01	5.011899999999999977e+02	8.274843567138805145e-04
3.570000000000000284e+01	3.981100000000000136e+02	1.011839599313720667e-03
3.570000000000000284e+01	3.162300000000000182e+02	1.145200407880346549e-03
3.570000000000000284e+01	2.511899999999999977e+02	1.263510766988371059e-03
3.570000000000000284e+01	1.995300000000000011e+02	1.340477524329294901e-03
3.570000000000000284e+01	1.584900000000000091e+02	1.385766799829036416e-03
3.570000000000000284e+01	1.258900000000000006e+02	1.414858824451831198e-03
3.570000000000000284e+01	1.000000000000000000e+02	1.407197558342634935e-03
3.570000000000000284e+01	7.943300000000000693e+01	1.411082758550497723e-03
3.570000000000000284e+01	6.309599999999999653e+01	1.367843810687566219e-03
3.570000000000000284e+01	5.011899999999999977e+01	1.331746359773445382e-03
3.570000000000000284e+01	3.981099999999999994e+01	1.259339185695207419e-03
3.570000000000000284e+01	3.162300000000000111e+01	1.197848698149761582e-03
3.570000000000000284e+01	2.511899999999999977e+01	1.118156989913944577e-03
3.570000000000000284e+01	1.995299999999999940e+01	1.063825735922962340e-03
3.570000000000000284e+01	1.584900000000000020e+01	1.017730254676756790e-03
3.570000000000000284e+01	1.258900000000000041e+01	9.268138192587600799e-04
3.570000000000000284e+01	1.000000000000000000e+01	9.174595502775412248e-04
3.570000000000000284e+01	7.943299999999999805e+00	8.442572262325441501e-04
3.570000000000000284e+01	6.309599999999999653e+00	8.316554226026062757e-04
3.570000000000000284e+01	5.011899999999999800e+00	7.500618813959109010e-04
3.570000000000000284e+01	3.981100000000000083e+00	7.946009117806955568e-04
3.570000000000000284e+01	3.162300000000000111e+00	7.820310653142530100e-04
3.570000000000000284e+01	2.511899999999999800e+00	7.816573256332996766e-04
3.570000000000000284e+01	1.995300000000000074e+00	8.114728599749251869e-04
3.570000000000000284e+01	1.584899999999999975e+00	8.430763329438095699e-04
3.570000000000000284e+01	1.258899999999999908e+00	9.093386468274761159e-04
3.570000000000000284e+01	1.000000000000000000e+00	9.636471117773319495e-04
3.570000000000000284e+01	7.943299999999999805e-01	1.093550104199415146e-03
3.570000000000000284e+01	6.309599999999999653e-01	1.123492909034122522e-03
3.570000000000000284e+01	5.011900000000000244e-01	1.354528628567396725e-03
3.570000000000000284e+01	3.981100000000000194e-01	1.463100192699916952e-03
3.570000000000000284e+01	3.162300000000000111e-01	1.663603889268509134e-03
3.570000000000000284e+01	2.511900000000000244e-01	2.087988031707500164e-03
3.570000000000000284e+01	1.995300000000000129e-01	2.341656397355014463e-03
3.570000000000000284e+01	1.584899999999999920e-01	2.800524886251414686e-03
3.570000000000000284e+01	1.258900000000000019e-01	3.326307241873820153e-03
3.570000000000000284e+01	1.000000000000000056e-01	3.908574411695564521e-03
4.139999999999999858e+01	1.000000000000000000e+03	-1.824563478264110139e-04
4.139999999999999858e+01	7.943300000000000409e+02	1.781648149409807702e-04
4.139999999999999858e+01	6.309600000000000364e+02	4.459996920304770684e-04
4.139999999999999858e+01	5.011899999999999977e+02	6.562683517501652353e-04
4.139999999999999858e+01	3.981100000000000136e+02	7.892305658587020489e-04
4.139999999999999858e+01	3.162300000000000182e+02	9.016084733795629025e-04
4.139999999999999858e+01	2.511899999999999977e+02	9.930766975724397705e-04
4.139999999999999858e+01	1.995300000000000011e+02	1.019440505574384370e-03
4.139999999999999858e+01	1.584900000000000091e+02	1.043993204479135017e-03
